Fibrosis	Steatosis	Ballooning	NAS
GSM3998167	0.280068606182511	0.00989846939099354	0.0467468666633712	0.0325052737966818
GSM3998169	0.0170124366323977	0.226241834705266	0.457734304554703	0.342569612350648
GSM3998170	0.274576408095524	0.0326811669230351	0.354791893664482	0.0959935408905478
GSM3998171	1.47653128979077	1.5709618684993	0.0378325503936061	0.418624645139291
GSM3998172	0.731413225468286	0.170658801787808	0.15374174830199	0.00264215705240539
GSM3998173	1.30362763100379	1.08890822810235	2.00839485859468	1.02164892988615
GSM3998175	0.12720150216469	0.974160317502665	1.001853087769	0.57500339372651
GSM3998176	0.459942082830185	1.18299005991235	1.57873158269454	0.0149071866368387
GSM3998177	0.0571019837072176	0.478352009837984	0.564680584815512	0.295010180940415
GSM3998179	0.0303572289744821	0.012083065595398	0.0116633278161756	0.00516986287408959
GSM3998180	0.608097088450864	0.0511948446052198	2.74803497270255	0.139572342315597
GSM3998181	1.36028126839091e-07	0.555807757404033	0.0018148129655001	0.155723169386185
GSM3998182	0.0939735063238073	0.448700454516872	0.0446753848451621	0.116779963582439
GSM3998183	7.5725216876589e-05	0.285117350816938	0.158569720428893	0.05178469671606
GSM3998184	0.349912620303208	0.000354578399410596	0.524691084380037	0.108275374765761
GSM3998186	0.772917494103773	2.54495236830739	0.0449825856776627	0.107571895722413
GSM3998187	0.309343385209355	0.0671255774398356	0.161780642121032	0.0367428648187601
GSM3998188	0.182474619930253	0.70046709152216	0.00720906955212973	0.190793698858399
GSM3998190	1.36669843942768	0.795781881714669	0.110285367561233	0.0736243597991034
GSM3998191	0.01842073360229	0.497127259300738	0.00886635381875509	0.166159612184937
GSM3998192	0.526006414335668	0.0742251857239501	1.04229334470424	0.294844576817776
GSM3998193	0.0518826992745967	0.228942515853754	0.248384175547003	0.00658933726156281
GSM3998196	0.412462357002617	0.434050439303775	2.64625315685561	0.0770566258420027
GSM3998197	0.501757552609873	0.00614249325241895	0.800691798308945	0.162584306687705
GSM3998198	0.000431404700398848	0.00287222309876495	0.319346763094236	0.0645915346253844
GSM3998199	0.774506050166548	0.255663723433796	1.04233006202896	0.404430466934168
GSM3998200	1.36443751619642	0.0559578227083404	0.119673489602349	0.00107422483559871
GSM3998201	0.01319007164199	0.375159720294836	0.0758769776309534	0.0449057677467804
GSM3998202	1.20246714019513	0.413514243506636	2.47761502681912	0.045762358286109
GSM3998203	0.145874492680465	0.756584912973874	0.197462861307524	0.365814170816564
GSM3998204	0.0670168157456302	1.31635802850399	0.00206485957476048	0.293609273800674
GSM3998205	0.321972193961437	0.0101564681465696	0.937524296122198	0.127327895335005
GSM3998206	1.05897838849823	0.678125689370721	0.00555177421139896	0.150998517131029
GSM3998207	0.00385756434768211	0.7103679794004	0.747866604627844	0.000406455195565263
GSM3998208	1.48688628006339	0.599336651511314	0.145984800888909	0.000642582532743394
GSM3998209	0.0271720953821321	0.644770220081365	0.00253299480747748	0.1444379129467
GSM3998210	0.783612236720418	0.0181609833347697	0.0142067114975012	8.81411053069698e-06
GSM3998211	0.0701858121528186	1.56922626871256	0.09415785325068	0.62637141674217
GSM3998212	0.0251961968007863	0.0290795083181003	0.00212082879291605	0.00119110953655918
GSM3998214	1.06087688959561	2.13528679472244	0.753292387353194	1.08946688637876
GSM3998219	0.239191318602697	1.06976498718215	0.860655516011934	0.665419590049251
GSM3998225	0.036203786224481	0.0426496285845966	0.170508150750884	0.0377943901701446
GSM3998226	1.50826291095753	0.681138643292307	0.153288843124253	0.447931254951491
GSM3998227	1.56726020653518	0.57236680042265	0.0250937128134918	0.198433057157383
GSM3998229	0.103212841490411	0.702799670591364	0.241996272175856	0.316017897722856
GSM3998230	0.082801651815704	1.13464684831743	0.379009189049585	0.580063316019054
GSM3998231	0.00633461388090823	0.732040570319544	0.259526817366861	0.0252343942868091
GSM3998232	0.038558481489783	0.000860300796685533	0.00188171104066418	0.00123663737079459
GSM3998235	0.0278488583850541	1.15860789610161	0.0753051807512615	0.407658257905293
GSM3998236	0.0348710764523049	0.180534280548671	0.464950453940623	0.279072361731238
GSM3998238	0.600179556823076	0.608930219985227	0.448676408186966	0.340100543612458
GSM3998240	0.801505531155987	0.263216782499659	0.446477693869819	0.254601484100255
GSM3998241	0.647634358455135	1.41452086895361	0.195146072771685	0.18594429684535
GSM3998242	0.684628469662507	0.15301277785735	0.65828814290887	0.293794273329087
GSM3998243	0.0200196155601348	0.181169476509951	0.044217768938038	0.0555325524052795
GSM3998244	0.0323125235884548	0.0343898266299615	0.222322878545516	0.00193140413153176
GSM3998246	0.121904159684351	0.0682565194593989	0.0157227707407712	0.0137749823143569
GSM3998247	0.320660395875244	3.02689804734334	0.628978463762562	0.195656679015382
GSM3998250	2.2486533991935	0.0134371861945136	1.68176483011523	0.311659796352834
GSM3998251	0.000817797189568125	1.83668563750434	0.0240211205351304	0.236329582826
GSM3998252	0.543135906906074	0.0803161379342272	0.150015719344494	0.025025452751518
GSM3998254	2.46331539386886	0.0165835954719297	3.40824441104421	0.619547109137299
GSM3998256	0.374486745568134	0.758417192089032	0.0272352644529871	0.238713324149331
GSM3998257	0.000760394859603326	0.300900785944445	0.721891172517686	0.50092364966486
GSM3998260	0.064188992200638	0.0572822586289362	0.0944070006232652	0.0222506588613687
GSM3998261	0.487956983973082	0.643803892566037	0.689660482268542	0.799622695332218
GSM3998264	0.58446501590008	0.865101971509329	0.349531447391945	0.0429125993319271
GSM3998265	0.425306171729211	1.19326454041167	0.0121174617908774	0.235228057335952
